produit,code-barres,categorie,sous_categorie,justification
SIGNAL HALEINE FRAICHE DENTIF FL/ 75ML,000031894,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE MAXI FRESH BLUE 100ML,000026641,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE CHARCOAL GENTLE CLEAN 120G,000024347,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE TOTAL CHARCOAL 75ML,000026643,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
FLUOCARIL BI 145 BLANCHEUR 2*75ML,000021650,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
FLUOCARIL (S) BI 145 BLANCH 075ML,000023024,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
FLUOCARIL (S) JR 6-13ANS F-R 75ML,000023799,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
FLUOCARIL (S-L) BI 145 MENTHE 075ML,000027488,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ABAAN DTF ALOE VERA/120ML,000025544,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
XTAR PATE DENTIF PRO TB 100G,000032716,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE MAXI FRESH VERT,000031569,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE MAXI FRESH ROUGE,000023464,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
GUMFORTE DENTIF CHARBON T/100G,000032739,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL EXTRA FRAICHEUR 75ML,000023458,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE CLEAN MINT TOTAL,000024348,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSODYNE REPAR ET PROTEG QUOT 75ML,000022959,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSODYNE RAPIDE ACTION DENTIF T/75ML,000023807,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
GUM DENTIFRCE ACTIVAL 75L,000031946,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
FLUOCARIL JUNIOR BUBBLE GEL 6-12 ANS 75ML,000023806,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COREGA POLIDT CRM ADHE MAXI 40G,000022882,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSOD (S) MULTI PROTEC 75ML,000020785,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSOD (S) REP&PRO BLANCHR 75ML,000024192,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSODYNE (S) SOIN BLANCH 24H 75ML,000021564,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
COLGATE HERBAL T/140G,000024349,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SENSODYNE SOIN COMPLET 24H75ML,000022149,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
GUM DTF JR TUTTI FRUTTI/50ML,000022567,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
GUMFORTE (D) DTF GEL T/100G,000021313,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
DENTYGEL CHARBON ACTIF 100G,000032966,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
DENTYGEL KIDS 3-6 ANS 70G,000032967,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL ANTI TARTRE SELS MIN DENTIF 75ML,000024358,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL DENT TRIPLE PROTECTION 140G,000023457,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL DENT. INTEGRAL8 COCO 75ML,000021336,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 ACTION INTERDENTAIRE 75ML,000030081,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 BICARBONATE 75ML,000030082,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 CHARBON/75ML,000024359,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 COMPLET DENTIF 75ML,000030083,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 NETTOYAGE INTENSE/75ML,000030084,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL INTEGRAL8 SEL ROSE-CAMOMILLE/75ML,000030085,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL JUNIOR 6-13ANS 75ML,000030087,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,000032412,Soins du visage,Sérums,"« SS...VIT C PURE ACID ASCORBIQ 30ML » : ingrédient (vitamine C/acide ascorbique) et format 30ML typiques d'un sérum visage ; « SS » pourrait signifier « Sérum Soin » (proposition validée par le client, confiance : Moyenne)"
CERAVE SOIN CONCENTRE ANTI IMPERF 40ML,000023737,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BALMY POUF BAIN MEDIUM,000032517,Accessoires,,"accessoire (coton-tige, disque démaquillant, peigne, pouf de bain) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BABYMED EAU DE COLOGNE 500ML,000025945,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BABYMED GEL LAVANT DOUCEUR 800ML,000025946,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BABYMED LAIT DE TOILETTE 800ML,000025949,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BABYMED LINGETTES/72,000024346,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE LAIT CORP ED LIM 750ML,000032546,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BYPHASSE Q10 CONTOUR DES YEUX 20ML,000031910,Soins du visage,Contour des yeux,"mention « contour des yeux » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE LAIT HYDRA F/473ML,000021412,Soins du corps,Laits & crèmes corps,"mention « lait / crème corps / lotion » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE GEL MOUSSANT F/236ML,000022809,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
LAIT BODY FASHION ANTI-VERGETURES 500ML,000030287,Soins du corps,Anti-vergetures,"mention « vergetures » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AFRO ET NATURE BONNET NUIT INTERIEUR,000033100,Accessoires,,"mention « bonnet » (accessoire nuit) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
PACK CHATEAU ROUGE SAVON + SOIN CONCENTREE -25%,000032656,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AMT SAVON BAOBAB 148G,000033101,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AMT SAVON BISSAP 148G,000033102,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BALMY POUF BAIN AU SAVON BLANC,000032406,Accessoires,,"accessoire (coton-tige, disque démaquillant, peigne, pouf de bain) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AMT SAVON COKTAIL 148G,000033103,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
GEL DE DOUCHE BODY FASHION 850ML,000030294,Hygiène & savons,Gels & huiles de douche,"« GEL DE DOUCHE » explicite dans le nom — non détecté initialement car « DE » sépare GEL et DOUCHE dans le texte source (proposition validée par le client, confiance : Élevée)"
BIOLANE LAIT CORPS HYDRA 350ML,000032595,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE SERUM ACID SALICYLIC 30ML,000032666,Soins du visage,Sérums,"mention « sérum » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AMT SAVON MORINGA 148G,000033105,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE SERUM LUMISKIN 30ML,000032667,Soins du visage,Sérums,"mention « sérum » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BUM BUM GEL VOLU FESSIER 200ML,000032676,Soins du corps,Raffermissants corps,"« GEL VOLU FESSIER » = gel volumateur/raffermissant fessier — soin corps explicite (proposition validée par le client, confiance : Élevée)"
BRUMES EXOTIQUES CARAIBES 250ML,000026340,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO OIL HLE DE SOIN F/60ML,000023814,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BRUMES EXOTIQUES HAWAI 250ML,000026341,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE GEL MOUSSANT ANTI IMPER F236ML,000023735,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE CREME SA ANTI ROUGOSITEF L177ML,000023734,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AVENE CLEAN HYDRA/ CLEAN AC 40ML 536874,000031933,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AVENE ULTRA-FLUID 50+50ML,000024135,Solaires,Protection solaire visage SPF50+,"Confirmé par le client (catégorie normalisée « Solaire »->« Solaires » pour correspondre aux 15 autres produits déjà classés Solaires dans le catalogue ; sous-catégorie conservée telle que fournie, aucune sous-catégorie Solaires n'existait encore dans le catalogue) (confiance : Élevée)"
CERAVE CREM REPARATRIC YEUX FL 15ML,000023733,Soins du visage,Contour des yeux,"mention « contour des yeux » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO OIL HLE DE SOIN F/125ML,000023811,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BYPHASSE LAIT ECL BLE FL/500ML,000023475,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO OIL HLE DE SOIN F/25ML,000023813,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BYPHASSE LAIT ECL AVOINE FL500ML,000023476,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
ATODERM GEL DOUCHE 1L (BIODERMA),000023619,Hygiène & savons,Gels & huiles de douche,"mention « gel douche / huile de douche » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
ATODERM HLE DE DOUCHE 1L (BIODERMA),000022702,Hygiène & savons,Gels & huiles de douche,"mention « gel douche / huile de douche » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BLONDEPIL CREM DEPILATOIRE TB200ML,000023777,Rasage & dépilation,,"mention « raser / dépilatoire » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIME GOLD SERUM ECLAIR F/50ML,000033209,Soins du visage,Sérums,"mention « sérum » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOBAL SER COLLAGEN VIT C 30ML,000032800,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE EAU TOILETT FRAICHEUR 200ML,000032801,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE CREM HYDRATANT JOUR SPF 30 52ML,000023731,Solaires,,"mention SPF/solaire/après-soleil (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE SPRAY AMANDE EXPORT 75ML,000032802,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CANDES LAIT CLARIFIANT SUBLIME AHA F/400ML,000026384,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE CR SUP HD ADV NIGH CERAMID NP0.2%-50ML,000032829,Soins du visage,Crèmes visage,"« CR SUP...NIGH...CERAMID...50ML » = crème de nuit à céramides, format 50ML typique d'un soin visage — non détecté car abrégé « CR » (pas « CREM ») (proposition validée par le client, confiance : Moyenne)"
BIO BALANCE CR SUP PLUMP HYDRA UR 50ML,000032830,Soins du visage,Crèmes visage,"« CR SUP PLUMP HYDRA...50ML » = crème repulpante hydratante, format 50ML typique visage (proposition validée par le client, confiance : Moyenne)"
BIOLANE (S) EDT FRAICHEUR 200ML,000026187,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE (S) GEL CHV&CORPS 350ML,000026188,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE (S) GEL CHV&CORPS 750ML,000026189,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE (S) LINGETTES EPAIS H2O/72,000026190,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE (S) SAVON DOUX SURG 150G,000026191,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CHATEAU ROUGE HUILE DIVINE UNIF HY,000031258,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CHATEAU ROUGE CR CONCENTRE UNI VISAGE T/50ML,000031259,Soins du visage,Crèmes visage,"« VISAGE » explicitement présent dans le nom — non détecté car « CR » abrégé au lieu de « CREME/CRÈME » (proposition validée par le client, confiance : Élevée)"
AVENE (L) CLEAN GEL NET400ML,000022753,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIOLANE CRM CHANGE T/100ML,000026199,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CHATEAU ROUGE CR PREST JOUR UNI T50ML,000031260,Soins du visage,Crèmes visage,"« CR PREST JOUR UNI T50ML » = crème de jour, même gamme Château Rouge que le produit voisin qui mentionne « VISAGE » explicitement (proposition validée par le client, confiance : Moyenne)"
AVE (S) CICALFATE+ CRM REP/PRO 40ML,000025854,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AVENE CICALFATE CREME 100ML 220693,000032202,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AVENE CLEAN COMEDOMED 30ML 239499,000032203,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIME LAIT ECLAIR 500ML SK,000022033,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIM CRM ECLAIR UBIQ 50ML,000026574,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIME LAIT ECLAIR UBIQ 500ML,000022623,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AIDA(S) CRM REGUL ANTITACHE T/40ML,000021362,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIM LAIT HYD ALOEVERA 500ML,000026578,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIM LAIT HYD CACAO 500ML,000026580,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIME LAIT HYD COCONUT 500ML,000023655,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CLAIRISSIM LAIT HYD VIT E 500ML,000026583,Soins du corps,Soins éclaircissants / anti-taches,"mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
AVENE XERACALM NUTRIT GEL NETT F/500ML,000032297,Soins du visage,Nettoyants visage,"mention nettoyant/démaquillant visage (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BALMY POUF BAIN AVEC MANCHE,000032457,Accessoires,,"accessoire (coton-tige, disque démaquillant, peigne, pouf de bain) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BYPHASSE GEL DOUCHE DERMO MICELLAIRE ARGAN 1L,000031480,Hygiène & savons,Gels & huiles de douche,"mention « gel douche / huile de douche » (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE FLU SOLAIRE ANTI-TACHES SPF 50+40ML,000032953,Solaires,,"mention SPF/solaire/après-soleil (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE FLUSOLAIRE HYDRAS PF 50+40ML,000032954,Solaires,,"mention SPF/solaire/après-soleil (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE HC CICA VISAGE LAIT 250ML,000032955,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE CREME HYDRATANT NUIT PM 52ML,000023770,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CORINE DE FARM PACK BB BASIC,000032972,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
CERAVE BAUME HYDRA 454G,900022904,Soins du corps,Baumes corps,"mention « baume » (corps, hors lèvres déjà classées) (rayon PDF « HC-ABC » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BIO BALANCE CR SUP GLOW 3-0 ETHYLASC 5%+ACIDF1%,000032443,Soins du visage,Crèmes visage,"« CR SUP GLOW...ETHYLASC...ACIDF1% » = crème éclat à base d'acide ascorbique éthylé, format soin visage (proposition validée par le client, confiance : Moyenne)"
BIO BALANCE CR YEUX SUP HD AUCOLAGEN& VIT C20ML,000032442,Soins du visage,Contour des yeux,"« YEUX » explicitement présent dans le nom — non détecté car « CR » abrégé au lieu de « CREME/CRÈME » (proposition validée par le client, confiance : Élevée)"
