nom_produit,code_barres,categorie_actuelle,sous_categorie_actuelle,proposition_categorie,proposition_sous_categorie,justification,niveau_confiance
BIO BALANCE SS ACID HYALURONIQ MULTI MOLECUL 30ML,000032444,Soins du corps,Autres soins corps,Soins du visage,Sérums,"« SS ACID HYALURONIQ MULTI MOLECUL 30ML » = sérum acide hyaluronique, format 30ML typique sérum visage",Moyenne
DM HUIL AVOCAT BIO FL 60ML,000031710,Soins du corps,Autres soins corps,Soins du corps,Huiles corps,« HUIL AVOCAT BIO FL 60ML » — même gamme que « DM (D) HUILE D ARGAN 60ML » déjà classée en huile corps ; non détecté ici car « HUIL » sans le « E » final,Moyenne
DOVE LAITINTENSE CARE /250ML,000026970,Soins du corps,Autres soins corps,Soins du corps,Laits & crèmes corps,« LAITINTENSE CARE » = « LAIT INTENSE CARE » accolé sans espace — variante 250ML du produit Dove 400ML déjà classé en lait corps,Élevée
DM HUIL RICIN,000032087,Soins du corps,Autres soins corps,À confirmer,,"« HUIL RICIN » (huile de ricin) sans précision d'usage — produit à double usage fréquent (corps ou cheveux) dans ce marché, aucun indice dans le nom pour trancher",Faible
DAM NATUR HUIL POUSS RAPID BAR B30ML,000023863,Soins du corps,Autres soins corps,Rasage & dépilation,Soins de la barbe,"« HUIL POUSS RAPID BARB30ML » = huile pousse rapide barbe, « BARB » = barbe explicite ; le produit sœur « HUIL POUSS CHEVEUX » de la même marque est déjà classé en soins capillaires",Moyenne
FLEUR DE BAIN GM,000027782,Soins du corps,Autres soins corps,Accessoires,,"« FLEUR DE BAIN » = accessoire de bain (pouf/éponge), cohérent avec les autres poufs de bain déjà classés en Accessoires",Élevée
DM CR RAFFERMMIS ET GROSSIS FEN,000023868,Soins du corps,Autres soins corps,Soins du corps,Raffermissants corps,"« CR RAFFERMMIS ET GROSSIS FEN » — « FEN » vraisemblablement tronqué de « FESSIER » (même famille que le produit BUM BUM raffermissant fessier), mais non certain à 100%",Moyenne
EVOLUDERM MASQUE DOUX CONCOMBRE 150ML,000027202,Soins du corps,Autres soins corps,Soins du visage,Masques visage,"« MASQUE DOUX CONCOMBRE » = masque visage au concombre, explicite",Élevée
EVOLUDERM MASQUE PURIF ARGILE 150ML,000027205,Soins du corps,Autres soins corps,Soins du visage,Masques visage,"« MASQUE PURIF ARGILE » = masque visage purifiant à l'argile, explicite",Élevée
GENSKIN TACHE GEL T/25G,000021895,Soins du corps,Autres soins corps,Soins du visage,Soins ciblés (imperfections/acné),"« TACHE GEL T/25G » = gel anti-tache format tube 25G, petit format typique d'un soin visage ciblé",Moyenne
IAP BRUM CHEV& CORPS 100ML OCEAN BLISFRASCO,000033032,Soins du corps,Autres soins corps,Parfumerie,Brumes parfumées,« BRUM CHEV& CORPS...FRASCO » — même série que les 5 autres « IAP BRUME CHEV&CORPS » déjà classées en brumes parfumées (rayon PDF PARFUME identique) ; non détecté ici car « BRUM » sans le « E » final,Élevée
GILBERT HYFAC WOMAN EAU MICELL 200 ML,000032043,Soins du corps,Autres soins corps,Soins du visage,Nettoyants visage,"« EAU MICELL[AIRE] 200ML » = eau micellaire, nettoyant visage explicite",Élevée
GLOWMAX CR T/100G,000032614,Soins du corps,Autres soins corps,À confirmer,,« CR T/100G » sans aucune précision visage/corps dans le nom ; le format 100G est compatible avec les deux usages,Faible
GLOWMAX SAV/75G,000032615,Soins du corps,Autres soins corps,Hygiène & savons,Savons solides,"« SAV/75G » = abréviation de « SAVON », format pain 75G",Élevée
GILBERT HYFAC SOIN GLOBAL 40MML,000032042,Soins du corps,Autres soins corps,Soins du visage,Soins ciblés (imperfections/acné),"gamme « HYFAC » (avec le produit sœur « HYFAC WOMAN EAU MICELLAIRE » de la même marque, nettoyant visage) — soin visage probable mais « SOIN GLOBAL » reste générique",Moyenne
LAINO (D) ARGILE VERTE SURF PDR 300G,000028150,Soins du corps,Autres soins corps,À confirmer,,"« ARGILE VERTE...PDR 300G » — l'argile verte est utilisée aussi bien en masque visage qu'en soin corps dans ce catalogue, aucun indice de zone d'application dans le nom",Faible
LAINO ARGILE VERTE TUBE 350G,000023018,Soins du corps,Autres soins corps,À confirmer,,"« ARGILE VERTE TUBE 350G » — même ambiguïté que le produit voisin (poudre d'argile verte), usage visage ou corps non précisé",Faible
LAINO HYDRATANT AMANDE DOUCE FL400ML,000032060,Soins du corps,Autres soins corps,Soins du corps,Laits & crèmes corps,"« HYDRATANT AMANDE DOUCE FL400ML » — flacon 400ML, format habituellement réservé aux laits corps plutôt qu'aux soins visage (petits formats)",Moyenne
MAYANA EAU MICELLAIRE,000023425,Soins du corps,Autres soins corps,Soins du visage,Nettoyants visage,« EAU MICELLAIRE » = nettoyant visage explicite,Élevée
MAYANA 100 J'ADORE FL/50ML,000032264,Soins du corps,Autres soins corps,Parfumerie,Eaux de parfum / toilette,"« 100 J'ADORE FL/50ML » — numérotation de parfum + flacon 50ML, même logique que la série IAP (parfums génériques inspirés de références connues)",Élevée
MAYANA 200 BLEU CH FL/50ML,000032266,Soins du corps,Autres soins corps,Parfumerie,Eaux de parfum / toilette,"« 200 BLEU CH FL/50ML » — numérotation de parfum + flacon 50ML, même logique que le produit voisin",Élevée
MIXA 10 EN 1 CICA REPAIR + 150ML,000033217,Soins du corps,Autres soins corps,Soins du corps,Laits & crèmes corps,"gamme « CICA REPAIR » — les 2 autres produits Mixa Cica Repair (crème pot 400ML, lait 250ML) sont déjà classés en soins corps ; ce format « 10 en 1 » appartient à la même gamme",Élevée
MIXA NETTOYANT CONFORT ANTI-TERNE 150ML,000032976,Soins du corps,Autres soins corps,Soins du visage,Nettoyants visage,"« NETTOYANT CONFORT ANTI-TERNE 150ML » — mot « NETTOYANT » explicite, format 150ML typique d'un nettoyant visage",Élevée
MIXA NETTOYANT CONFORT ANTI-SECHERESSE 150ML,000032978,Soins du corps,Autres soins corps,Soins du visage,Nettoyants visage,"« NETTOYANT CONFORT ANTI-SECHERESSE 150ML » — même gamme que le produit voisin, mot « NETTOYANT » explicite",Élevée
MKL HUIL CORPS ALOE VERA BIO 200ML,000023726,Soins du corps,Autres soins corps,Soins du corps,Huiles corps,« HUIL CORPS ALOE VERA BIO 200ML » — mot « CORPS » explicitement présent ; non détecté ici car « HUIL » sans le « E » final,Élevée
NIVEA LABELLO FRAISE STICK 4.8G,000032774,Soins du corps,Autres soins corps,Soins du visage,Baumes à lèvres,"« LABELLO...STICK 4.8G » — Labello est une gamme de soins des lèvres, format stick classique",Élevée
NIVEA GEL ANTI BLEMISH,000031476,Soins du corps,Autres soins corps,Soins du visage,Soins ciblés (imperfections/acné),"« GEL ANTI BLEMISH » = gel anti-imperfections, traitement ciblé habituellement visage",Moyenne
SIVODERM GEL LAVANT EXPERT,000031573,Soins du corps,Autres soins corps,Soins du visage,Nettoyants visage,"« GEL LAVANT EXPERT » — gamme Sivoderm (soins anti-acné), gel lavant généralement utilisé en nettoyant visage",Moyenne
SVR DENTISIUM CR RICHE 50ML,000023740,Soins du corps,Autres soins corps,À confirmer,,"« DENTISIUM CR RICHE 50ML » — nom probablement tronqué/déformé (« Densitium » ?), sans certitude sur la gamme ni la zone d'application ; classer sur cette base reviendrait à deviner au-delà du texte disponible",Faible
SENSITELIAL (S) SOIN EMOL/500ML,000030024,Soins du corps,Autres soins corps,Soins du corps,Laits & crèmes corps,"« SOIN EMOL[LIENT]/500ML » — grand format 500ML, cohérent avec un soin émollient corps plutôt qu'un soin visage",Moyenne
TOPICREM (S) EMULS CORPS ULT HYD 500ML,000030531,Soins du corps,Autres soins corps,Soins du corps,Laits & crèmes corps,« EMULS CORPS ULT HYD 500ML » — mot « CORPS » explicitement présent,Élevée
URIAGE GEL SURGRAS DERMATO 500ML (S),000030709,Soins du corps,Autres soins corps,Hygiène & savons,Gels & huiles de douche,« GEL SURGRAS DERMATO 500ML » — grand format 500ML typique d'un gel lavant corps/famille plutôt que d'un soin visage ciblé,Moyenne
URIAGE GYN-PHY GEL INT./200ML,000030710,Soins du corps,Autres soins corps,Hygiène & savons,Hygiène intime,"« GYN-PHY GEL INT./200ML » — « GYN » et « INT. » (intime) explicites, gel d'hygiène intime",Élevée
VEGEBOM (S-D) SAV PURIF PAIN 100G,000030795,Soins du corps,Autres soins corps,Hygiène & savons,Savons solides,"« SAV PURIF PAIN 100G » — « SAV » = savon, « PAIN » = format pain, explicite",Élevée
VEGEBOM SAV SURGRAS 100G,000030803,Soins du corps,Autres soins corps,Hygiène & savons,Savons solides,"« SAV SURGRAS 100G » — « SAV » = savon, format pain 100G, explicite",Élevée
SHIELD VASELINE 100ML,000032848,Soins du corps,Autres soins corps,Soins du corps,Baumes corps,"« VASELINE 100ML » — gelée de vaseline, protecteur cutané corps d'usage général",Élevée
