rayon,produit,marque_deduite,code_barre,prix_cession,prix_public,stk_rayon,stk_magasin,stk_global,date_exp,deja_present_en_base,anomalie
HB - PATES,SIGNAL JUNIOR 6-13ANS 75ML,Signal,000030087,1017.00,1950.00,4.00,0.00,4.00,31/12/00,Non,
HC-ABC,BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,Bio (à confirmer),000032412,6100.00,10800.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CERAVE SOIN CONCENTRE ANTI IMPERF 40ML,CeraVe,000023737,8272.00,14650.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BALMY POUF BAIN MEDIUM,Balmy,000032517,787.00,1450.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BABYMED EAU DE COLOGNE 500ML,Babymed,000025945,1229.00,2350.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BABYMED GEL LAVANT DOUCEUR 800ML,Babymed,000025946,1525.00,2900.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,BABYMED LAIT DE TOILETTE 800ML,Babymed,000025949,1356.00,2600.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,BABYMED LINGETTES/72,Babymed,000024346,932.00,1800.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,BIOLANE LAIT CORP ED LIM 750ML,Biolane,000032546,7057.00,12800.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BYPHASSE Q10 CONTOUR DES YEUX 20ML,Byphasse,000031910,3390.00,6201.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,CERAVE LAIT HYDRA F/473ML,CeraVe,000021412,8053.00,14245.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CERAVE GEL MOUSSANT F/236ML,CeraVe,000022809,5576.00,10119.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,LAIT BODY FASHION ANTI-VERGETURES 500ML,(ambigu — voir nom),000030287,2627.00,5000.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,AFRO ET NATURE BONNET NUIT INTERIEUR,Afro et Nature,000033100,3150.00,4850.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,PACK CHATEAU ROUGE SAVON + SOIN CONCENTREE -25%,(ambigu — voir nom),000032656,12960.00,17650.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AMT SAVON BAOBAB 148G,AMT,000033101,1800.00,3200.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AMT SAVON BISSAP 148G,AMT,000033102,1800.00,3200.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BALMY POUF BAIN AU SAVON BLANC,Balmy,000032406,1723.00,3126.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AMT SAVON COKTAIL 148G,AMT,000033103,1800.00,3200.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,GEL DE DOUCHE BODY FASHION 850ML,(ambigu — voir nom),000030294,1864.00,3500.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,BIOLANE LAIT CORPS HYDRA 350ML,Biolane,000032595,4597.00,8150.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE SERUM ACID SALICYLIC 30ML,Bio (à confirmer),000032666,5399.00,9600.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,AMT SAVON MORINGA 148G,AMT,000033105,1800.00,3200.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE SERUM LUMISKIN 30ML,Bio (à confirmer),000032667,6460.00,11434.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BUM BUM GEL VOLU FESSIER 200ML,Bum Bum,000032676,10678.00,18900.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,BRUMES EXOTIQUES CARAIBES 250ML,Brumes Exotiques,000026340,4237.00,7500.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO OIL HLE DE SOIN F/60ML,Bio (à confirmer),000023814,4417.00,8016.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BRUMES EXOTIQUES HAWAI 250ML,Brumes Exotiques,000026341,5000.00,7500.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,CERAVE GEL MOUSSANT ANTI IMPER F236ML,CeraVe,000023735,5820.00,10560.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,CERAVE CREME SA ANTI ROUGOSITEF L177ML,CeraVe,000023734,5520.00,10019.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE CLEAN HYDRA/ CLEAN AC 40ML 536874,Avène,000031933,6723.00,12201.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE ULTRA-FLUID 50+50ML,Avène,000024135,9047.00,16000.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CERAVE CREM REPARATRIC YEUX FL 15ML,CeraVe,000023733,6510.00,11575.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO OIL HLE DE SOIN F/125ML,Bio (à confirmer),000023811,6709.00,12175.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BYPHASSE LAIT ECL BLE FL/500ML,Byphasse,000023475,2882.00,5500.00,4.00,0.00,4.00,31/12/00,Non,
HC-ABC,BIO OIL HLE DE SOIN F/25ML,Bio (à confirmer),000023813,1940.00,3450.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BYPHASSE LAIT ECL AVOINE FL500ML,Byphasse,000023476,2882.00,5500.00,4.00,0.00,4.00,31/12/00,Non,
HC-ABC,ATODERM GEL DOUCHE 1L (BIODERMA),Bioderma,000023619,10435.00,18938.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,ATODERM HLE DE DOUCHE 1L (BIODERMA),Bioderma,000022702,11500.00,20870.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BLONDEPIL CREM DEPILATOIRE TB200ML,Blondepil,000023777,3907.00,7090.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIME GOLD SERUM ECLAIR F/50ML,Clairissime,000033209,2281.00,4150.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOBAL SER COLLAGEN VIT C 30ML,Biolane,000032800,6718.00,11890.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE EAU TOILETT FRAICHEUR 200ML,Biolane,000032801,2369.00,4300.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CERAVE CREM HYDRATANT JOUR SPF 30 52ML,CeraVe,000023731,7425.00,13475.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE SPRAY AMANDE EXPORT 75ML,Biolane,000032802,2500.00,4550.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,CANDES LAIT CLARIFIANT SUBLIME AHA F/400ML,Candes,000026384,9855.00,17450.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE CR SUP HD ADV NIGH CERAMID NP0.2%-50ML,Bio (à confirmer),000032829,7560.00,13400.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE CR SUP PLUMP HYDRA UR 50ML,Bio (à confirmer),000032830,7650.00,13540.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE (S) EDT FRAICHEUR 200ML,Biolane,000026187,2302.00,4175.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE (S) GEL CHV&CORPS 350ML,Biolane,000026188,2972.00,5400.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,BIOLANE (S) GEL CHV&CORPS 750ML,Biolane,000026189,5748.00,10450.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE (S) LINGETTES EPAIS H2O/72,Biolane,000026190,2005.00,3650.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE (S) SAVON DOUX SURG 150G,Biolane,000026191,2522.00,4600.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CHATEAU ROUGE HUILE DIVINE UNIF HY,Château Rouge,000031258,6958.00,12600.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CHATEAU ROUGE CR CONCENTRE UNI VISAGE T/50ML,Château Rouge,000031259,7706.00,14000.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE (L) CLEAN GEL NET400ML,Avène,000022753,8116.00,14327.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIOLANE CRM CHANGE T/100ML,Biolane,000026199,2784.00,5050.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,CHATEAU ROUGE CR PREST JOUR UNI T50ML,Château Rouge,000031260,8597.00,10150.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,AVE (S) CICALFATE+ CRM REP/PRO 40ML,Avène,000025854,4567.00,8376.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE CICALFATE CREME 100ML 220693,Avène,000032202,7010.00,12725.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE CLEAN COMEDOMED 30ML 239499,Avène,000032203,7617.00,13823.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIME LAIT ECLAIR 500ML SK,Clairissime,000022033,4400.00,7788.00,3.00,0.00,3.00,31/12/00,Non,
HC-ABC,CLAIRISSIM CRM ECLAIR UBIQ 50ML,Clairissime,000026574,2280.00,4150.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIME LAIT ECLAIR UBIQ 500ML,Clairissime,000022623,4399.00,7800.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AIDA(S) CRM REGUL ANTITACHE T/40ML,Aida,000021362,2879.00,5225.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIM LAIT HYD ALOEVERA 500ML,Clairissime,000026578,4570.00,8088.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIM LAIT HYD CACAO 500ML,Clairissime,000026580,4190.00,7416.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIME LAIT HYD COCONUT 500ML,Clairissime,000023655,4610.00,8159.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CLAIRISSIM LAIT HYD VIT E 500ML,Clairissime,000026583,4559.00,8069.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,AVENE XERACALM NUTRIT GEL NETT F/500ML,Avène,000032297,8660.00,15328.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BALMY POUF BAIN AVEC MANCHE,Balmy,000032457,1937.00,3515.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BYPHASSE GEL DOUCHE DERMO MICELLAIRE ARGAN 1L,Byphasse,000031480,2967.00,5500.00,4.00,0.00,4.00,31/12/00,Non,
HC-ABC,BIO BALANCE FLU SOLAIRE ANTI-TACHES SPF 50+40ML,Bio (à confirmer),000032953,6960.00,12631.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE FLUSOLAIRE HYDRAS PF 50+40ML,Bio (à confirmer),000032954,6960.00,12631.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE HC CICA VISAGE LAIT 250ML,Bio (à confirmer),000032955,5520.00,10017.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,CERAVE CREME HYDRATANT NUIT PM 52ML,CeraVe,000023770,6769.00,12285.00,2.00,0.00,2.00,31/12/00,Non,
HC-ABC,CORINE DE FARM PACK BB BASIC,Corine (à confirmer),000032972,13288.00,24250.00,4.00,0.00,4.00,31/12/00,Non,
HC-ABC,CERAVE BAUME HYDRA 454G,CeraVe,900022904,8214.00,14900.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE CR SUP GLOW 3-0 ETHYLASC 5%+ACIDF1%,Bio (à confirmer),000032443,7740.00,13700.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE CR YEUX SUP HD AUCOLAGEN& VIT C20ML,Bio (à confirmer),000032442,7100.00,12600.00,1.00,0.00,1.00,31/12/00,Non,
HC-ABC,BIO BALANCE SS ACID HYALURONIQ MULTI MOLECUL 30ML,Bio (à confirmer),000032444,6100.00,10700.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DM HUILE CLOU DE GIROFLE 60ML,DM,000031173,2280.00,4137.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DM HUIL AVOCAT BIO FL 60ML,DM,000031710,2280.00,4137.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DERMOWHIT CREM NUIT CLARIFIANT HYD 50G,Dermowhite,000033059,5637.00,9977.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DUCRAY KERACNYL 50+FLUIDE CR T/50ML,Ducray,000032620,6500.00,11500.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DOVE LAIT INTENSE CARE FL/400ML,Dove,000031888,2203.00,3999.00,2.00,0.00,2.00,31/12/00,Non,
HC-DEF,EUCERIN CREME SOLAIRE OIL/ACNE CONTROL 50ML,Eucerin,000033096,6000.00,12500.00,4.00,0.00,4.00,31/12/00,Non,
HC-DEF,EVA CREME PIEDS,Eva,000026804,1356.00,2600.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DOVE LAITINTENSE CARE /250ML,Dove,000026970,1356.00,2500.00,2.00,0.00,2.00,31/12/00,Non,
HC-DEF,DOVE LAIT ESSENTIEL CARE/250ML,Dove,000026975,1356.00,2500.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DEPIWHITE (S) ACM CONTOUR YEUX 15ML,Depiwhite,000021993,7457.00,13200.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DOVE SAVON BEAUTY CRM BAR 90G,Dove,000026977,593.00,1100.00,5.00,0.00,5.00,31/12/00,Non,
HC-DEF,EASY ROSE CREME DEPILATOIRE T/120ML,Easy Rose,000031914,1102.00,2100.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DEPIWHITE (S-U) LAIT CORPS •CLAI 500ML,Depiwhite,000026819,10697.00,19415.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DOVE SAVON REFRESHING 90G,Dove,000026978,593.00,1100.00,3.00,0.00,3.00,31/12/00,Non,
HC-DEF,DOVE SAVON PAMPERING 90G,Dove,000026980,593.00,1100.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DEXERYL CRM TUBE 250G,Dexeryl,000020829,2437.00,3428.00,11.00,0.00,11.00,31/12/00,Non,
HC-DEF,DUCRAY (S) KERACNYL GEL/400ML,Ducray,000023127,8378.00,14850.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DUCRAY (S-D) KERACNYL PP CRM/30ML,Ducray,000023992,6400.00,11600.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DUCRAY ANAPHASE APRES SHAMP 200ML,Ducray,000023750,5328.00,10580.00,3.00,0.00,3.00,31/12/00,Non,
HC-DEF,DM HUIL RICIN,DM,000032087,1800.00,3266.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DM (D) HUILE D ARGAN 60ML,DM,000026904,2280.00,4137.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DM (D) HUILE DE COCO 60ML,DM,000023574,2100.00,3811.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DOVE SAVON COCONUT 90G,Dove,000031500,593.00,1100.00,2.00,0.00,2.00,31/12/00,Non,
HC-DEF,DAM NATUR HUIL POUSS CHEVEUX 125MML,Dam Natur,000023862,4920.00,8700.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,DAM NATUR HUIL POUSS RAPID BAR B30ML,Dam Natur,000023863,2700.00,4900.00,1.00,0.00,1.00,31/12/00,Non,
HC-DEF,FAIR WHITE CREME GOLD,Fair White,000031508,2500.00,3845.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,BABYMED LAIT DE TOILETTE 200ML,Babymed,000025948,636.00,1250.00,3.00,0.00,3.00,31/12/00,Non,
HC-DIVERS,FLEUR DE BAIN GM,(ambigu — voir nom),000027782,593.00,1250.00,2.00,0.00,2.00,31/12/00,Non,
HC-DIVERS,MINOXIDIL CPF 5% COFF 3X60ML,Minoxidil,000028695,13047.00,18353.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,CERAVE LAIT HYDRATANT FL236ML,CeraVe,000031558,4999.00,10525.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,LAINO SAVON MARSEIL 150G,Laino,000028160,2126.00,3858.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,NEUTROGENA FORM NORV LAIT APAIS ET REPAR 250ML,Neutrogena,000023937,5133.00,9100.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,COFFRET BIOLANE,Biolane,000031415,17563.00,31875.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,SVR SEBIACLEAR ACTIV+RENO GEL CREM 40L,SVR,000023741,5765.00,10462.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,COTON TIGE BB B/56,"(accessoire, sans marque)",000023502,762.00,1500.00,9.00,0.00,9.00,31/12/00,Non,
HC-DIVERS,CICAPLAST (S) LEVRES 7.5ML,La Roche-Posay,000026543,3801.00,6898.00,2.00,0.00,2.00,31/12/00,Non,
HC-DIVERS,LRP EFFACLAR K+ S RENO 40ML,La Roche-Posay,000028411,7987.00,14495.00,1.00,0.00,1.00,31/12/00,Non,
HC-DIVERS,COTON DISQUES A DEMAQ CLEAQ S/100D,"(accessoire, sans marque)",000026717,750.00,1300.00,9.00,0.00,9.00,31/12/00,Non,
HC-DIVERS,COTON TIGE AD,"(accessoire, sans marque)",000023501,762.00,1500.00,5.00,0.00,5.00,31/12/00,Non,
HC-DIVERS,LAINO STICK LEVRE CIRE D'ABEILLE 4G,Laino,000031448,1589.00,3548.00,3.00,0.00,3.00,31/12/00,Non,
HC-DIVERS,WILLIAMS MOUSSE A RASER SENSIBLE 200ML,Williams,000030944,2458.00,4600.00,3.00,0.00,3.00,31/12/00,Non,
HC-DIVERS,DM CR RAFFERMMIS ET GROSSIS FEN,DM,000023868,5400.00,9800.00,1.00,0.00,1.00,31/12/00,Non,
